course,Skills_Text
IBM Introduction to Machine Learning,"c, feature engineering, machine learning, r"
Advanced Learning Algorithms,"c, deep learning, machine learning, neural networks, python, r, tensorflow"
Preparing for Google Cloud Certification: Cloud Engineer,"c, cloud computing, kubernetes, r"
Architecting with Google Compute Engine,"c, cloud computing, kubernetes, r"
Prepare Data for Exploration,"c, databases, r, sql"
Neural Networks and Deep Learning,"c, deep learning, machine learning, neural networks, python, r"
Microsoft 365 Fundamentals,"c, data visualization, databases, r"
Leading the Modern Day Business,"c, r"
Gestión de Proyectos de Google,"agile software development, c, r, software engineering"
Digital Product Management,"agile software development, c, r, software engineering"
Modern Project Management,"c, r"
Graphic Design,"c, r"
Leadership Skills,"c, r"
Improve Your English Communication Skills,"c, r"
The Materiality of ESG Factors,"c, r"
Regulatory Compliance,"c, r"
IBM Data Science,
Preparing for Google Cloud Certification: Machine Learning Engineer,"c, cloud computing, data visualization, deep learning, docker, feature engineering, machine learning, neural networks, python, r, sql, tensorflow"
Tools of the Trade: Linux and SQL,"databases, linux, sql"
Preparing for Google Cloud Certification: Cloud DevOps Engineer,"c, cloud computing, docker, kubernetes, r"
Google Cloud Database Engineer,"c, cloud computing, databases, kubernetes, r, sql"
Project Planning: Putting It All Together,"c, r"
The Science of Well-Being,r
AWS Cloud Technology Consultant,"c, cloud computing, python, r, web development"
Architecting with Google Kubernetes Engine,"c, cloud computing, kubernetes, r"
Writing in the Sciences,r
Foundations of Positive Psychology,"c, r"
"Start the UX Design Process: Empathize, Define, and Ideate","c, r"
Preparing for Google Cloud Certification: Cloud Developer,"c, cloud computing, docker, kubernetes, r, web development"
What is Data Science?,"c, data science, deep learning, machine learning, r"
Attract and Engage Customers with Digital Marketing,"c, git, r, web development"
AWS Cloud Solutions Architect,"c, cloud computing, data visualization, machine learning, r"
Learn SQL Basics for Data Science,"c, data science, databases, r, sql"
Introduction to Psychology,"c, r"
Construction Management,"c, r"
Salesforce Sales Operations,"c, data visualization, databases, r"
Preparing for Google Cloud Certification: Cloud Security Engineer,"c, cloud computing, kubernetes, r"
AWS Fundamentals,"c, cloud computing, databases, r"
Data Analysis and Presentation Skills: the PwC Approach,"c, data visualization, r"
Developing Applications with Google Cloud,"c, cloud computing, kubernetes, r, web development"
Supply Chain Management,"c, r"
Google Marketing Digital e E-Commerce,"c, r"
Preparing for Google Cloud Certification: Cloud Data Engineer,"c, cloud computing, databases, feature engineering, machine learning, python, r, sql, tensorflow"
Diseño de Experiencia del Usuario (UX) de Google,"c, r"
Preparing for Google Cloud Certification: Cloud Network Engineer,"c, cloud computing, kubernetes, r"
Security in Google Cloud,"c, cloud computing, kubernetes, r"
Networking in Google Cloud,"c, cloud computing, kubernetes, r"
Security Analyst Fundamentals,"c, python, r"
Introduction to Statistics,"c, r"
Introduction to Data Analytics,"c, data science, databases, python, r, sql"
Introduction to Generative AI,"c, deep learning, machine learning, neural networks, r"
IBM Data Analyst,
"Data Engineering, Big Data, and Machine Learning on GCP","c, cloud computing, databases, feature engineering, machine learning, python, r, sql, tensorflow"
Arizona State University TESOL,"c, r"
DevOps on AWS,"c, cloud computing, r, software engineering"
Process Data from Dirty to Clean,"c, databases, r, sql"
Agile Project Management,"agile software development, c, r, software engineering"
