Clusters,WCSS
1,524.5533825635362
2,479.61076077684356
3,450.29921312644507
4,424.5333607850357
5,407.0755774055493
6,387.9105054987434
7,368.28223486752023
8,358.2487613599819
9,347.78889561147605
10,344.9709653930073
