Intern ID,Top Cluster,Top Cluster Role,Missing Skills,Recommended Courses
intern_0047,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0048,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Google Data Analytics Capstone: Complete a Case Study, Google Data Analytics, Google Project Management:"
intern_0049,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM Data Analytics with Excel and R, Google Data Analytics, Google Project Management:"
intern_0050,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0051,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0052,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0053,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM DevOps and Software Engineering, Google Data Analytics, Google Project Management:"
intern_0054,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0055,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0056,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Tools for Data Science, Google Data Analytics, Google Project Management:"
intern_0057,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Cloud Application Development Foundations, Google Data Analytics, Google Project Management:"
intern_0058,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Google Data Analytics Capstone: Complete a Case Study, Google Data Analytics, Google Project Management:"
intern_0059,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0060,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
