Intern ID,Top Cluster,Top Cluster Role,Job Similarity Score,Top Course,Course Similarity Score
intern_0049,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.7415612402888456,IBM Data Analytics with Excel and R,0.8596392238215256
intern_0050,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.7522982058909101,Foundations of Cybersecurity,0.8691431281442707
intern_0051,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.7514105104992463,IBM DevOps and Software Engineering,0.8662899975323913
intern_0052,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6573490737369809,Go Beyond the Numbers: Translate Data into Insights,0.9668762081311765
intern_0053,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6732236015718269,IBM DevOps and Software Engineering,0.8248452603012777
intern_0054,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.5703726448416812,Introduction to Front-End Development,0.9550343666255946
intern_0055,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.5309954491452811,Introduction to Front-End Development,0.9425453676022798
intern_0056,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6627291181608665,Tools for Data Science,0.8847449839131675
intern_0057,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6779030641405148,Cloud Application Development Foundations,0.8825434381697215
intern_0058,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.7738078206778418,Google Data Analytics Capstone: Complete a Case Study,0.8581729232764291
intern_0059,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.7296530421911446,IBM DevOps and Software Engineering,0.88860935855468
intern_0060,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6840937374875043,IBM DevOps and Software Engineering,0.9413823022933804
intern_0061,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.5964081666314792,Go Beyond the Numbers: Translate Data into Insights,0.918725958577717
intern_0062,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.5197493430075071,Google Digital Marketing & E-commerce,0.7978952526992383
intern_0063,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.7448234316107222,Cloud Application Development Foundations,0.7947935181185577
intern_0064,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.49341770607438407,"HTML, CSS, and Javascript for Web Developers",0.9647411605889222
intern_0065,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.5958650613069288,IBM DevOps and Software Engineering,0.9901645893460405
